date,location,value
2020-01-22,01,0
2020-01-22,02,0
2020-01-22,04,0
2020-01-22,05,0
2020-01-22,06,0
2020-01-22,08,0
2020-01-22,09,0
2020-01-22,10,0
2020-01-22,11,0
2020-01-22,12,0
2020-01-22,13,0
2020-01-22,15,0
2020-01-22,16,0
2020-01-22,17,0
2020-01-22,18,0
2020-01-22,19,0
2020-01-22,20,0
2020-01-22,21,0
2020-01-22,22,0
2020-01-22,23,0
2020-01-22,24,0
2020-01-22,25,0
2020-01-22,26,0
2020-01-22,27,0
2020-01-22,28,0
2020-01-22,29,0
2020-01-22,30,0
2020-01-22,31,0
2020-01-22,32,0
2020-01-22,33,0
2020-01-22,34,0
2020-01-22,35,0
2020-01-22,36,0
2020-01-22,37,0
2020-01-22,38,0
2020-01-22,39,0
2020-01-22,40,0
2020-01-22,41,0
2020-01-22,42,0
2020-01-22,44,0
2020-01-22,45,0
2020-01-22,46,0
2020-01-22,47,0
2020-01-22,48,0
2020-01-22,49,0
2020-01-22,50,0
2020-01-22,51,0
2020-01-22,53,0
2020-01-22,54,0
2020-01-22,55,0
2020-01-22,56,0
2020-01-23,01,0
2020-01-23,02,0
2020-01-23,04,0
2020-01-23,05,0
2020-01-23,06,0
2020-01-23,08,0
2020-01-23,09,0
2020-01-23,10,0
2020-01-23,11,0
2020-01-23,12,0
2020-01-23,13,0
2020-01-23,15,0
2020-01-23,16,0
2020-01-23,17,0
2020-01-23,18,0
2020-01-23,19,0
2020-01-23,20,0
2020-01-23,21,0
2020-01-23,22,0
2020-01-23,23,0
2020-01-23,24,0
2020-01-23,25,0
2020-01-23,26,0
2020-01-23,27,0
2020-01-23,28,0
2020-01-23,29,0
2020-01-23,30,0
2020-01-23,31,0
2020-01-23,32,0
2020-01-23,33,0
2020-01-23,34,0
2020-01-23,35,0
2020-01-23,36,0
2020-01-23,37,0
2020-01-23,38,0
2020-01-23,39,0
2020-01-23,40,0
2020-01-23,41,0
2020-01-23,42,0
2020-01-23,44,0
2020-01-23,45,0
2020-01-23,46,0
2020-01-23,47,0
2020-01-23,48,0
2020-01-23,49,0
2020-01-23,50,0
2020-01-23,51,0
2020-01-23,53,0
2020-01-23,54,0
2020-01-23,55,0
2020-01-23,56,0
2020-01-24,01,0
2020-01-24,02,0
2020-01-24,04,0
2020-01-24,05,0
2020-01-24,06,0
2020-01-24,08,0
2020-01-24,09,0
2020-01-24,10,0
2020-01-24,11,0
2020-01-24,12,0
2020-01-24,13,0
2020-01-24,15,0
2020-01-24,16,0
2020-01-24,17,0
2020-01-24,18,0
2020-01-24,19,0
2020-01-24,20,0
2020-01-24,21,0
2020-01-24,22,0
2020-01-24,23,0
2020-01-24,24,0
2020-01-24,25,0
2020-01-24,26,0
2020-01-24,27,0
2020-01-24,28,0
2020-01-24,29,0
2020-01-24,30,0
2020-01-24,31,0
2020-01-24,32,0
2020-01-24,33,0
2020-01-24,34,0
2020-01-24,35,0
2020-01-24,36,0
2020-01-24,37,0
2020-01-24,38,0
2020-01-24,39,0
2020-01-24,40,0
2020-01-24,41,0
2020-01-24,42,0
2020-01-24,44,0
2020-01-24,45,0
2020-01-24,46,0
2020-01-24,47,0
2020-01-24,48,0
2020-01-24,49,0
2020-01-24,50,0
2020-01-24,51,0
2020-01-24,53,0
2020-01-24,54,0
2020-01-24,55,0
2020-01-24,56,0
2020-01-25,01,0
2020-01-25,02,0
2020-01-25,04,0
2020-01-25,05,0
2020-01-25,06,0
2020-01-25,08,0
2020-01-25,09,0
2020-01-25,10,0
2020-01-25,11,0
2020-01-25,12,0
2020-01-25,13,0
2020-01-25,15,0
2020-01-25,16,0
2020-01-25,17,0
2020-01-25,18,0
2020-01-25,19,0
2020-01-25,20,0
2020-01-25,21,0
2020-01-25,22,0
2020-01-25,23,0
2020-01-25,24,0
2020-01-25,25,0
2020-01-25,26,0
2020-01-25,27,0
2020-01-25,28,0
2020-01-25,29,0
2020-01-25,30,0
2020-01-25,31,0
2020-01-25,32,0
2020-01-25,33,0
2020-01-25,34,0
2020-01-25,35,0
2020-01-25,36,0
2020-01-25,37,0
2020-01-25,38,0
2020-01-25,39,0
2020-01-25,40,0
2020-01-25,41,0
2020-01-25,42,0
2020-01-25,44,0
2020-01-25,45,0
2020-01-25,46,0
2020-01-25,47,0
2020-01-25,48,0
2020-01-25,49,0
2020-01-25,50,0
2020-01-25,51,0
2020-01-25,53,0
2020-01-25,54,0
2020-01-25,55,0
2020-01-25,56,0
2020-01-26,01,0
2020-01-26,02,0
2020-01-26,04,0
2020-01-26,05,0
2020-01-26,06,0
2020-01-26,08,0
2020-01-26,09,0
2020-01-26,10,0
2020-01-26,11,0
2020-01-26,12,0
2020-01-26,13,0
2020-01-26,15,0
2020-01-26,16,0
2020-01-26,17,0
2020-01-26,18,0
2020-01-26,19,0
2020-01-26,20,0
2020-01-26,21,0
2020-01-26,22,0
2020-01-26,23,0
2020-01-26,24,0
2020-01-26,25,0
2020-01-26,26,0
2020-01-26,27,0
2020-01-26,28,0
2020-01-26,29,0
2020-01-26,30,0
2020-01-26,31,0
2020-01-26,32,0
2020-01-26,33,0
2020-01-26,34,0
2020-01-26,35,0
2020-01-26,36,0
2020-01-26,37,0
2020-01-26,38,0
2020-01-26,39,0
2020-01-26,40,0
2020-01-26,41,0
2020-01-26,42,0
2020-01-26,44,0
2020-01-26,45,0
2020-01-26,46,0
2020-01-26,47,0
2020-01-26,48,0
2020-01-26,49,0
