forecast_date,target,target_end_date,location,type,quantile,value
2020-11-22,1 wk ahead cum death,2020-11-28,01,point,NA,3646.5769042969
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.01,3457.0
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.025,3457.0
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.05,3457.0
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.1,3457.0
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.15,3461.5151367188
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.2,3481.9858398438
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.25,3505.3449707031
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.3,3531.0822753906
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.35,3558.607421875
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.4,3587.3674316406
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.45,3616.8708496094
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.5,3646.5769042969
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.55,3675.1784667969
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.6,3703.7512207031
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.65,3732.3078613281
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.7,3760.85546875
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.75,3789.3999023438
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.8,3817.9445800781
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.85,3846.4880371094
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.9,3875.0349121094
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.95,3903.5888671875
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.975,3932.1677246094
2020-11-22,1 wk ahead cum death,2020-11-28,01,quantile,0.99,3960.865234375
2020-11-22,2 wk ahead cum death,2020-12-05,01,point,NA,3850.7509765625
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.01,3457.0
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.025,3457.0
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.05,3457.0
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.1,3506.8696289062
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.15,3561.8308105469
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.2,3593.7902832031
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.25,3630.2600097656
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.3,3670.4416503906
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.35,3713.4140625
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.4,3758.3139648438
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.45,3804.3742675781
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.5,3850.7509765625
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.55,3895.4055175781
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.6,3940.0151367188
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.65,3984.5993652344
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.7,4029.1708984375
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.75,4073.73828125
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.8,4118.3037109375
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.85,4162.8701171875
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.9,4207.44140625
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.95,4252.025390625
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.975,4296.6474609375
2020-11-22,2 wk ahead cum death,2020-12-05,01,quantile,0.99,4341.4418945312
2020-11-22,3 wk ahead cum death,2020-12-12,01,point,NA,4067.4899902344
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.01,3457.0
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.025,3457.0
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.05,3477.1787109375
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.1,3648.1647949219
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.15,3715.1938476562
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.2,3754.1643066406
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.25,3798.6325683594
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.3,3847.6279296875
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.35,3900.0270996094
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.4,3954.7758789062
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.45,4010.9404296875
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.5,4067.4899902344
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.55,4121.9379882812
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.6,4176.3295898438
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.65,4230.6918945312
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.7,4285.0380859375
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.75,4339.3793945312
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.8,4393.7197265625
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.85,4448.0620117188
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.9,4502.4125976562
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.95,4556.7846679688
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.975,4611.2060546875
2020-11-22,3 wk ahead cum death,2020-12-12,01,quantile,0.99,4665.8452148438
2020-11-22,4 wk ahead cum death,2020-12-19,01,point,NA,4294.4047851562
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.01,3457.0
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.025,3457.0
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.05,3631.216796875
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.1,3823.3178710938
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.15,3898.6252441406
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.2,3942.4040527344
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.25,3992.3605957031
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.3,4047.4033203125
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.35,4106.26953125
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.4,4167.7768554688
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.45,4230.8745117188
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.5,4294.4047851562
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.55,4355.5732421875
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.6,4416.6787109375
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.65,4477.7514648438
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.7,4538.8071289062
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.75,4599.8579101562
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.8,4660.908203125
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.85,4721.9643554688
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.9,4783.0366210938
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.95,4844.1396484375
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.975,4905.3178710938
2020-11-22,4 wk ahead cum death,2020-12-19,01,quantile,0.99,4966.7563476562
2020-11-22,1 wk ahead cum death,2020-11-28,02,point,NA,130.0617523193
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.01,102.0
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.025,109.9143371582
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.05,118.973739624
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.1,122.1774291992
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.15,123.4345169067
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.2,124.1684875488
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.25,125.005531311
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.3,125.9273376465
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.35,126.9128875732
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.4,127.9424819946
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.45,128.9985198975
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.5,130.0617523193
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.55,131.0866394043
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.6,132.1104431152
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.65,133.1336975098
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.7,134.1566619873
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.75,135.1794891357
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.8,136.2022705078
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.85,137.2250823975
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.9,138.2479705811
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.95,139.2712554932
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.975,140.2959899902
2020-11-22,1 wk ahead cum death,2020-11-28,02,quantile,0.99,141.328994751
2020-11-22,2 wk ahead cum death,2020-12-05,02,point,NA,163.9217529297
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.01,102.0
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.025,126.3600234985
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.05,143.2343292236
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.1,149.205657959
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.15,151.5490875244
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.2,152.9199676514
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.25,154.4831085205
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.3,156.2041473389
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.35,158.0440216064
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.4,159.9659423828
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.45,161.9371490479
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.5,163.9217529297
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.55,165.8359375
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.6,167.7482299805
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.65,169.6595001221
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.7,171.5703887939
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.75,173.4812011719
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.8,175.3923187256
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.85,177.3040466309
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.9,179.2171936035
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.95,181.1333770752
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.975,183.0552978516
2020-11-22,2 wk ahead cum death,2020-12-05,02,quantile,0.99,184.9961090088
2020-11-22,3 wk ahead cum death,2020-12-12,02,point,NA,204.5769500732
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.01,102.0
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.025,150.408782959
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.05,174.7311706543
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.1,183.3416290283
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.15,186.7205200195
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.2,188.6991577148
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.25,190.9554443359
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.3,193.4393310547
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.35,196.0946350098
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.4,198.8682250977
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.45,201.7129211426
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.5,204.5769500732
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.55,207.3400726318
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.6,210.100402832
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.65,212.8592224121
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.7,215.6174468994
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.75,218.3754577637
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.8,221.1337280273
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.85,223.8926544189
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.9,226.6529541016
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.95,229.4164733887
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.975,232.1866149902
2020-11-22,3 wk ahead cum death,2020-12-12,02,quantile,0.99,234.9821777344
2020-11-22,4 wk ahead cum death,2020-12-19,02,point,NA,252.0258178711
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.01,105.2379837036
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.025,181.0116424561
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.05,212.8980102539
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.1,224.1866455078
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.15,228.6162872314
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.2,231.2101593018
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.25,234.1681060791
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.3,237.4244384766
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.35,240.9055175781
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.4,244.5416412354
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.45,248.2710571289
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.5,252.0258178711
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.55,255.6482543945
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.6,259.2671203613
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.65,262.883972168
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.7,266.4999694824
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.75,270.1157531738
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.8,273.7319030762
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.85,277.3489074707
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.9,280.9678039551
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.95,284.591003418
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.975,288.2229003906
2020-11-22,4 wk ahead cum death,2020-12-19,02,quantile,0.99,291.8877258301
2020-11-22,1 wk ahead cum death,2020-11-28,04,point,NA,6688.5693359375
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.01,6457.0
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.025,6457.0
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.05,6457.0
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.1,6457.0
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.15,6457.0
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.2,6457.0
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.25,6457.0
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.3,6476.8374023438
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.35,6527.296875
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.4,6580.0205078125
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.45,6634.109375
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.5,6688.5693359375
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.55,6740.9990234375
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.6,6793.3754882812
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.65,6845.7231445312
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.7,6898.0551757812
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.75,6950.3798828125
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.8,7002.705078125
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.85,7055.0283203125
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.9,7107.3559570312
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.95,7159.6909179688
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.975,7212.0595703125
2020-11-22,1 wk ahead cum death,2020-11-28,04,quantile,0.99,7264.5747070312
2020-11-22,2 wk ahead cum death,2020-12-05,04,point,NA,6949.1796875
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.01,6457.0
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.025,6457.0
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.05,6457.0
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.1,6457.0
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.15,6457.0
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.2,6485.8740234375
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.25,6551.6220703125
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.3,6624.0673828125
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.35,6701.5473632812
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.4,6782.5034179688
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.45,6865.5571289062
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.5,6949.1796875
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.55,7029.6811523438
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.6,7110.1010742188
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.65,7190.4755859375
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.7,7270.8266601562
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.75,7351.1689453125
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.8,7431.5112304688
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.85,7511.8525390625
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.9,7592.2045898438
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.95,7672.576171875
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.975,7753.0078125
2020-11-22,2 wk ahead cum death,2020-12-05,04,quantile,0.99,7833.6860351562
2020-11-22,3 wk ahead cum death,2020-12-12,04,point,NA,7235.5361328125
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.01,6457.0
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.025,6457.0
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.05,6457.0
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.1,6490.771484375
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.15,6609.939453125
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.2,6679.12890625
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.25,6758.080078125
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.3,6845.0810546875
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.35,6938.1323242188
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.4,7035.3603515625
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.45,7135.1064453125
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.5,7235.5361328125
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.55,7332.1943359375
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.6,7428.7563476562
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.65,7525.2641601562
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.7,7621.744140625
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.75,7718.2153320312
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.8,7814.68359375
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.85,7911.1577148438
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.9,8007.6459960938
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.95,8104.16796875
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.975,8200.78515625
2020-11-22,3 wk ahead cum death,2020-12-12,04,quantile,0.99,8297.751953125
2020-11-22,4 wk ahead cum death,2020-12-19,04,point,NA,7543.5146484375
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.01,6457.0
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.025,6457.0
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.05,6457.0
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.1,6717.9506835938
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.15,6850.11328125
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.2,6926.7998046875
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.25,7014.2998046875
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.3,7110.7290039062
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.35,7213.8671875
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.4,7321.6362304688
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.45,7432.1967773438
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.5,7543.5146484375
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.55,7650.6323242188
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.6,7757.6420898438
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.65,7864.591796875
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.7,7971.5107421875
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.75,8078.419921875
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.8,8185.326171875
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.85,8292.23828125
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.9,8399.1640625
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.95,8506.1318359375
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.975,8613.2099609375
2020-11-22,4 wk ahead cum death,2020-12-19,04,quantile,0.99,8720.7216796875
2020-11-22,1 wk ahead cum death,2020-11-28,05,point,NA,2500.8483886719
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.01,2337.0
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.025,2337.0
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.05,2337.0
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.1,2351.0932617188
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.15,2375.150390625
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.2,2389.0546875
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.25,2404.9077148438
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.3,2422.3864746094
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.35,2441.0844726562
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.4,2460.6232910156
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.45,2480.66796875
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.5,2500.8483886719
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.55,2520.2443847656
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.6,2539.6208496094
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.65,2558.986328125
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.7,2578.3469238281
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.75,2597.7060546875
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.8,2617.0654296875
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.85,2636.4267578125
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.9,2655.7939453125
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.95,2675.1755371094
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.975,2694.5935058594
2020-11-22,1 wk ahead cum death,2020-11-28,05,quantile,0.99,2714.1459960938
2020-11-22,2 wk ahead cum death,2020-12-05,05,point,NA,2697.1557617188
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.01,2337.0
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.025,2337.0
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.05,2360.4196777344
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.1,2458.1838378906
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.15,2496.5512695312
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.2,2518.7429199219
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.25,2544.0461425781
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.3,2571.9416503906
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.35,2601.7817382812
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.4,2632.962890625
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.45,2664.951171875
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.5,2697.1557617188
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.55,2728.1162109375
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.6,2759.044921875
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.65,2789.9562988281
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.7,2820.8603515625
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.75,2851.7622070312
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.8,2882.6652832031
2020-11-22,2 wk ahead cum death,2020-12-05,05,quantile,0.85,2913.5727539062
