location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,baseline_eligibility,overall_eligibility
01,CMU-TimeSeries,eligible,"NA","NA","NA",eligible
01,Columbia_UNC-SurvCon,missing required forecasts,"NA","NA","NA",ineligible
01,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
01,COVIDhub-baseline,eligible,"NA","NA","NA",eligible
01,CU-select,eligible,"NA","NA","NA",eligible
01,DDS-NBDS,eligible,"NA","NA","NA",eligible
01,epiforecasts-ensemble1,eligible,"NA","NA","NA",eligible
01,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
01,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
01,IHME-CurveFit,eligible,"NA","NA","NA",eligible
01,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
01,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
01,Karlen-pypm,eligible,"NA","NA","NA",eligible
01,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
01,LNQ-ens1,missing required forecasts,"NA","NA","NA",ineligible
01,MITCovAlliance-SIR,eligible,"NA","NA","NA",eligible
01,MOBS-GLEAM_COVID,missing required forecasts,"NA","NA","NA",ineligible
01,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
01,NotreDame-mobility,eligible,"NA","NA","NA",eligible
01,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
01,PSI-DRAFT,eligible,"NA","NA","NA",eligible
01,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
01,RobertWalraven-ESG,eligible,"NA","NA","NA",eligible
01,RPI-UW-Mob-Collision,missing required forecasts,"NA","NA","NA",ineligible
01,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
01,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
01,UCM_MESALab-FoGSEIR,missing required forecasts,"NA","NA","NA",ineligible
01,UMass-MechBayes,eligible,"NA","NA","NA",eligible
01,UMich-RidgeTfReg,eligible,"NA","NA","NA",eligible
01,USACE-ERDC_SEIR,eligible,"NA","NA","NA",eligible
01,UT-Mobility,eligible,"NA","NA","NA",eligible
01,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
02,CMU-TimeSeries,eligible,"NA","NA","NA",eligible
02,Columbia_UNC-SurvCon,missing required forecasts,"NA","NA","NA",ineligible
02,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
02,COVIDhub-baseline,eligible,"NA","NA","NA",eligible
02,CU-select,eligible,"NA","NA","NA",eligible
02,DDS-NBDS,eligible,"NA","NA","NA",eligible
02,epiforecasts-ensemble1,missing required forecasts,"NA","NA","NA",ineligible
02,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
02,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
02,IHME-CurveFit,eligible,"NA","NA","NA",eligible
02,IowaStateLW-STEM,missing required forecasts,"NA","NA","NA",ineligible
02,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
02,Karlen-pypm,eligible,"NA","NA","NA",eligible
02,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
02,LNQ-ens1,missing required forecasts,"NA","NA","NA",ineligible
02,MITCovAlliance-SIR,eligible,"NA","NA","NA",eligible
02,MOBS-GLEAM_COVID,missing required forecasts,"NA","NA","NA",ineligible
02,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
02,NotreDame-mobility,eligible,"NA","NA","NA",eligible
02,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
02,PSI-DRAFT,eligible,"NA","NA","NA",eligible
02,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
02,RobertWalraven-ESG,eligible,"NA","NA","NA",eligible
02,RPI-UW-Mob-Collision,missing required forecasts,"NA","NA","NA",ineligible
02,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
