"location","target","target_end_date","forecast_date","type","quantile","value"
"66","1 day ahead inc hosp","2022-06-21","2022-06-20","quantile",0.01,1
"69","1 day ahead inc hosp","2022-06-21","2022-06-20","quantile",0.01,0
"66","2 day ahead inc hosp","2022-06-22","2022-06-20","quantile",0.01,1
"69","2 day ahead inc hosp","2022-06-22","2022-06-20","quantile",0.01,0
"66","3 day ahead inc hosp","2022-06-23","2022-06-20","quantile",0.01,1
"69","3 day ahead inc hosp","2022-06-23","2022-06-20","quantile",0.01,0
"66","4 day ahead inc hosp","2022-06-24","2022-06-20","quantile",0.01,1
"69","4 day ahead inc hosp","2022-06-24","2022-06-20","quantile",0.01,0
"66","5 day ahead inc hosp","2022-06-25","2022-06-20","quantile",0.01,1
"69","5 day ahead inc hosp","2022-06-25","2022-06-20","quantile",0.01,0
"66","6 day ahead inc hosp","2022-06-26","2022-06-20","quantile",0.01,1
"69","6 day ahead inc hosp","2022-06-26","2022-06-20","quantile",0.01,0
"66","7 day ahead inc hosp","2022-06-27","2022-06-20","quantile",0.01,1
"69","7 day ahead inc hosp","2022-06-27","2022-06-20","quantile",0.01,0
"66","8 day ahead inc hosp","2022-06-28","2022-06-20","quantile",0.01,1
"69","8 day ahead inc hosp","2022-06-28","2022-06-20","quantile",0.01,0
"66","9 day ahead inc hosp","2022-06-29","2022-06-20","quantile",0.01,1
"69","9 day ahead inc hosp","2022-06-29","2022-06-20","quantile",0.01,0
"66","10 day ahead inc hosp","2022-06-30","2022-06-20","quantile",0.01,1
"69","10 day ahead inc hosp","2022-06-30","2022-06-20","quantile",0.01,0
"66","11 day ahead inc hosp","2022-07-01","2022-06-20","quantile",0.01,1
"69","11 day ahead inc hosp","2022-07-01","2022-06-20","quantile",0.01,0
"66","12 day ahead inc hosp","2022-07-02","2022-06-20","quantile",0.01,1
"69","12 day ahead inc hosp","2022-07-02","2022-06-20","quantile",0.01,0
"66","13 day ahead inc hosp","2022-07-03","2022-06-20","quantile",0.01,1
"69","13 day ahead inc hosp","2022-07-03","2022-06-20","quantile",0.01,0
"66","14 day ahead inc hosp","2022-07-04","2022-06-20","quantile",0.01,1
"69","14 day ahead inc hosp","2022-07-04","2022-06-20","quantile",0.01,0
"66","15 day ahead inc hosp","2022-07-05","2022-06-20","quantile",0.01,1
"69","15 day ahead inc hosp","2022-07-05","2022-06-20","quantile",0.01,0
"66","16 day ahead inc hosp","2022-07-06","2022-06-20","quantile",0.01,1
"69","16 day ahead inc hosp","2022-07-06","2022-06-20","quantile",0.01,0
"66","17 day ahead inc hosp","2022-07-07","2022-06-20","quantile",0.01,1
"69","17 day ahead inc hosp","2022-07-07","2022-06-20","quantile",0.01,0
"66","18 day ahead inc hosp","2022-07-08","2022-06-20","quantile",0.01,1
"69","18 day ahead inc hosp","2022-07-08","2022-06-20","quantile",0.01,0
"66","19 day ahead inc hosp","2022-07-09","2022-06-20","quantile",0.01,0
"69","19 day ahead inc hosp","2022-07-09","2022-06-20","quantile",0.01,0
