location,target,target_end_date,forecast_date,type,quantile,value
01,1 day ahead inc hosp,2023-06-27,2023-06-26,point,NA,11
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.01,2
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.025,2
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.05,3
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.1,4
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.15,5
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.2,6
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.25,7
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.3,7
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.35,8
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.4,10
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.45,10
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.5,11
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.55,12
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.6,13
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.65,15
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.7,16
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.75,17
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.8,19
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.85,21
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.9,23
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.95,26
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.975,29
01,1 day ahead inc hosp,2023-06-27,2023-06-26,quantile,0.99,31
01,2 day ahead inc hosp,2023-06-28,2023-06-26,point,NA,11
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.01,1
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.025,1
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.05,2
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.1,3
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.15,5
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.2,6
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.25,7
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.3,8
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.35,9
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.4,10
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.45,11
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.5,11
01,2 day ahead inc hosp,2023-06-28,2023-06-26,quantile,0.55,13
